t,x,y,z
0.723805,0.023911,-0.026840,-0.994370
0.723841,0.024033,-0.026886,-0.994247
0.723866,0.024170,-0.026871,-0.994171
0.723890,0.024292,-0.026810,-0.994171
0.723937,0.024384,-0.026718,-0.994263
0.733639,0.024399,-0.026627,-0.994415
0.733888,0.024368,-0.026535,-0.994614
0.733930,0.024292,-0.026474,-0.994843
0.733960,0.024200,-0.026459,-0.995056
0.733984,0.024124,-0.026489,-0.995285
0.734009,0.024078,-0.026535,-0.995468
0.734046,0.024063,-0.026611,-0.995590
0.734073,0.024063,-0.026688,-0.995636
0.743778,0.024063,-0.026749,-0.995590
0.744053,0.024048,-0.026794,-0.995483
0.744115,0.024002,-0.026810,-0.995331
0.744146,0.023911,-0.026810,-0.995148
0.744172,0.023804,-0.026779,-0.994980
0.744198,0.023697,-0.026749,-0.994843
0.744223,0.023636,-0.026718,-0.994736
0.744248,0.023636,-0.026703,-0.994629
0.754778,0.023697,-0.026733,-0.994507
0.754990,0.023773,-0.026779,-0.994354
0.755032,0.023880,-0.026840,-0.994186
0.755059,0.023972,-0.026901,-0.994003
0.755119,0.024033,-0.026962,-0.993790
0.755149,0.024078,-0.026978,-0.993576
0.755222,0.024094,-0.026978,-0.993362
0.755249,0.024124,-0.026978,-0.993195
0.765296,0.024170,-0.026978,-0.993073
0.766135,0.024231,-0.026993,-0.993011
0.766162,0.024277,-0.027008,-0.993011
0.766174,0.024323,-0.027039,-0.993057
0.766186,0.024353,-0.027054,-0.993103
0.766197,0.024384,-0.027100,-0.993118
0.766207,0.024399,-0.027145,-0.993118
0.766216,0.024414,-0.027206,-0.993088
0.773562,0.024414,-0.027252,-0.993011
0.773646,0.024384,-0.027283,-0.992905
0.773662,0.024353,-0.027313,-0.992767
0.773673,0.024307,-0.027328,-0.992645
0.773686,0.024261,-0.027313,-0.992584
0.773696,0.024231,-0.027267,-0.992599
0.773707,0.024231,-0.027206,-0.992722
0.773716,0.024246,-0.027115,-0.992966
0.783659,0.024277,-0.027054,-0.993271
0.783757,0.024307,-0.027008,-0.993637
0.783786,0.024338,-0.027023,-0.994019
0.783812,0.024368,-0.027100,-0.994354
0.783836,0.024384,-0.027191,-0.994614
0.783869,0.024399,-0.027298,-0.994751
0.783895,0.024368,-0.027390,-0.994797
0.783920,0.024338,-0.027466,-0.994736
0.793879,0.024292,-0.027527,-0.994583
0.793989,0.024231,-0.027573,-0.994370
0.794019,0.024155,-0.027618,-0.994156
0.794046,0.024078,-0.027679,-0.993958
0.794072,0.024033,-0.027725,-0.993820
0.794096,0.024017,-0.027756,-0.993774
0.794120,0.024048,-0.027786,-0.993820
0.794152,0.024109,-0.027802,-0.993927
0.803840,0.024216,-0.027786,-0.994095
