t,x,y,z
0.246608,0.022018,-0.023712,-0.994537
0.246636,0.022003,-0.023026,-0.994583
0.246672,0.021973,-0.022400,-0.994644
0.246696,0.021927,-0.021896,-0.994751
0.246722,0.021866,-0.021576,-0.994904
0.246747,0.021774,-0.021469,-0.995102
0.256469,0.021683,-0.021591,-0.995331
0.256655,0.021606,-0.021942,-0.995529
0.256695,0.021515,-0.022491,-0.995651
0.256727,0.021393,-0.023209,-0.995621
0.256757,0.021210,-0.024033,-0.995392
0.256899,0.020981,-0.024887,-0.994965
0.256952,0.020691,-0.025726,-0.994370
0.257007,0.020401,-0.026520,-0.993652
0.266505,0.020126,-0.027222,-0.992935
0.266641,0.019943,-0.027832,-0.992294
0.266670,0.019882,-0.028366,-0.991806
0.266715,0.019974,-0.028809,-0.991531
0.266740,0.020233,-0.029221,-0.991486
0.266764,0.020660,-0.029602,-0.991653
0.266788,0.021225,-0.029984,-0.991989
0.267788,0.021896,-0.030350,-0.992416
0.278458,0.022629,-0.030701,-0.992874
0.278676,0.023361,-0.031021,-0.993332
0.278710,0.024094,-0.031281,-0.993729
0.278736,0.024811,-0.031494,-0.994049
0.278760,0.025497,-0.031631,-0.994263
0.278784,0.026154,-0.031738,-0.994370
0.278808,0.026764,-0.031784,-0.994400
0.278831,0.027267,-0.031784,-0.994370
0.286426,0.027634,-0.031738,-0.994278
0.286523,0.027832,-0.031693,-0.994141
0.286554,0.027832,-0.031647,-0.993958
0.286598,0.027634,-0.031616,-0.993698
0.286627,0.027267,-0.031616,-0.993393
0.286652,0.026810,-0.031631,-0.993042
0.286676,0.026291,-0.031601,-0.992691
0.286707,0.025772,-0.031525,-0.992325
0.296399,0.025269,-0.031342,-0.991989
0.296530,0.024796,-0.031052,-0.991684
0.296571,0.024323,-0.030655,-0.991409
0.296599,0.023865,-0.030136,-0.991180
0.296624,0.023392,-0.029572,-0.990982
0.296674,0.022934,-0.028946,-0.990860
0.296699,0.022507,-0.028305,-0.990784
0.296726,0.022110,-0.027649,-0.990768
0.306522,0.021774,-0.026962,-0.990829
0.306630,0.021530,-0.026260,-0.990952
0.306668,0.021362,-0.025528,-0.991180
0.306692,0.021301,-0.024811,-0.991516
0.306724,0.021317,-0.024155,-0.991943
0.306750,0.021393,-0.023605,-0.992447
0.306774,0.021515,-0.023224,-0.992981
0.306799,0.021652,-0.023026,-0.993530
0.316472,0.021805,-0.023026,-0.994034
0.316513,0.021927,-0.023178,-0.994492
0.316527,0.021973,-0.023468,-0.994843
0.316538,0.021896,-0.023834,-0.995071
0.316549,0.021698,-0.024231,-0.995148
0.316559,0.021362,-0.024582,-0.995041
0.316568,0.020950,-0.024857,-0.994797
0.316578,0.020523,-0.025009,-0.994461
0.326718,0.020142,-0.025055,-0.994125
0.326830,0.019867,-0.024979,-0.993851
0.327172,0.019730,-0.024841,-0.993729
0.327220,0.019760,-0.024658,-0.993790
0.327250,0.019943,-0.024460,-0.994019
0.327279,0.020264,-0.024292,-0.994339
0.327333,0.020721,-0.024185,-0.994705
0.327361,0.021271,-0.024185,-0.994995
0.336534,0.021866,-0.024292,-0.995163
0.336672,0.022491,-0.024567,-0.995209
0.336732,0.023102,-0.024994,-0.995163
0.336770,0.023697,-0.025620,-0.995087
0.336804,0.024261,-0.026398,-0.995026
0.336839,0.024780,-0.027313,-0.995010
0.336868,0.025223,-0.028305,-0.995087
0.336897,0.025558,-0.029343,-0.995209
0.346340,0.025757,-0.030365,-0.995346
0.346454,0.025818,-0.031311,-0.995453
0.346484,0.025787,-0.032181,-0.995499
0.346517,0.025665,-0.032928,-0.995453
0.346543,0.025497,-0.033569,-0.995300
0.346567,0.025375,-0.034058,-0.995071
0.346591,0.025299,-0.034363,-0.994812
0.346624,0.025299,-0.034454,-0.994553
0.356352,0.025360,-0.034286,-0.994324
0.356463,0.025482,-0.033844,-0.994141
0.356507,0.025589,-0.033142,-0.993988
0.356546,0.025650,-0.032181,-0.993881
0.356585,0.025635,-0.031021,-0.993790
0.356622,0.025543,-0.029724,-0.993759
0.356660,0.025406,-0.028381,-0.993774
0.356708,0.025238,-0.027084,-0.993866
0.366357,0.025085,-0.025940,-0.994003
0.366489,0.024933,-0.025024,-0.994171
0.366534,0.024796,-0.024368,-0.994354
0.366575,0.024643,-0.023972,-0.994522
0.366613,0.024445,-0.023819,-0.994659
0.366659,0.024170,-0.023895,-0.994720
0.366699,0.023819,-0.024155,-0.994690
0.366738,0.023392,-0.024567,-0.994583
0.376484,0.022919,-0.025101,-0.994415
0.376612,0.022415,-0.025742,-0.994217
0.376656,0.021942,-0.026443,-0.994049
0.376695,0.021530,-0.027176,-0.993942
0.376732,0.021225,-0.027908,-0.993927
0.376769,0.021027,-0.028595,-0.994003
0.376805,0.020935,-0.029190,-0.994141
0.376841,0.020950,-0.029633,-0.994339
0.386334,0.021057,-0.029892,-0.994553
0.386548,0.021225,-0.029968,-0.994766
0.386581,0.021439,-0.029877,-0.994995
0.386621,0.021713,-0.029633,-0.995224
0.386649,0.022018,-0.029282,-0.995453
0.386673,0.022369,-0.028854,-0.995651
0.386697,0.022751,-0.028397,-0.995834
0.386721,0.023132,-0.027954,-0.995956
0.396295,0.023499,-0.027573,-0.996002
0.396393,0.023819,-0.027252,-0.995956
0.396422,0.024033,-0.027039,-0.995789
0.396447,0.024139,-0.026886,-0.995499
0.396472,0.024155,-0.026779,-0.995087
0.396499,0.024048,-0.026718,-0.994629
0.396524,0.023880,-0.026657,-0.994156
0.396548,0.023682,-0.026627,-0.993713
0.406329,0.023514,-0.026596,-0.993332
0.406448,0.023376,-0.026596,-0.993042
0.406485,0.023300,-0.026627,-0.992828
0.406516,0.023254,-0.026688,-0.992676
0.406546,0.023224,-0.026779,-0.992554
0.406612,0.023178,-0.026886,-0.992416
0.406650,0.023056,-0.026962,-0.992249
0.406681,0.022858,-0.027008,-0.992111
0.416305,0.022614,-0.026978,-0.992004
0.416417,0.022354,-0.026886,-0.991959
0.416459,0.022125,-0.026749,-0.992035
0.416493,0.022018,-0.026550,-0.992233
0.416523,0.022034,-0.026306,-0.992554
0.416561,0.022217,-0.026031,-0.992935
0.416598,0.022507,-0.025772,-0.993362
0.416627,0.022903,-0.025589,-0.993744
0.426354,0.023331,-0.025528,-0.994034
